protein1 protein2 combined_score
208964.PA2545 208964.PA0002 558
208964.PA0002 208964.PA2584 192
208964.PA2584 208964.PA0002 192
208964.PA0002 208964.PA2613 414
208964.PA2613 208964.PA0002 414
208964.PA0002 208964.PA2727 628
208964.PA2727 208964.PA0002 628
208964.PA0002 208964.PA2728 628
208964.PA2728 208964.PA0002 628
208964.PA0002 208964.PA2961 998
208964.PA2961 208964.PA0002 998
208964.PA0002 208964.PA3114 181
208964.PA3114 208964.PA0002 181
208964.PA0002 208964.PA3183 169
208964.PA3183 208964.PA0002 169
208964.PA0002 208964.PA3227 470
208964.PA3227 208964.PA0002 470
208964.PA0002 208964.PA3232 430
208964.PA3232 208964.PA0002 430
208964.PA0002 208964.PA3287 445
208964.PA3287 208964.PA0002 445
208964.PA0002 208964.PA3297 190
208964.PA3297 208964.PA0002 190
208964.PA0002 208964.PA3308 673
208964.PA3308 208964.PA0002 673
208964.PA0002 208964.PA3331 324
208964.PA3331 208964.PA0002 324
208964.PA0002 208964.PA3344 807
208964.PA3344 208964.PA0002 807
208964.PA0002 208964.PA3383 194
208964.PA3383 208964.PA0002 194
208964.PA0002 208964.PA3495 191
208964.PA3495 208964.PA0002 191
208964.PA0002 208964.PA3528 960
208964.PA3528 208964.PA0002 960
208964.PA0002 208964.PA3563 171
208964.PA3563 208964.PA0002 171
208964.PA0002 208964.PA3614 657
208964.PA3614 208964.PA0002 657
208964.PA0002 208964.PA3617 969
208964.PA3617 208964.PA0002 969
208964.PA0002 208964.PA3620 972
208964.PA3620 208964.PA0002 972
208964.PA0002 208964.PA3635 190
208964.PA3635 208964.PA0002 190
208964.PA0002 208964.PA3640 999
208964.PA3640 208964.PA0002 999
208964.PA0002 208964.PA3642 449
208964.PA3642 208964.PA0002 449
208964.PA0002 208964.PA3656 190
208964.PA3656 208964.PA0002 190
208964.PA0002 208964.PA3679 324
208964.PA3679 208964.PA0002 324
208964.PA0002 208964.PA3811 179
208964.PA3811 208964.PA0002 179
208964.PA0002 208964.PA3832 975
208964.PA3832 208964.PA0002 975
208964.PA0002 208964.PA3961 190
208964.PA3961 208964.PA0002 190
208964.PA0002 208964.PA3989 999
208964.PA3989 208964.PA0002 999
208964.PA0002 208964.PA4172 558
208964.PA4172 208964.PA0002 558
208964.PA0002 208964.PA4238 773
208964.PA4238 208964.PA0002 773
208964.PA0002 208964.PA4264 233
208964.PA4264 208964.PA0002 233
208964.PA0002 208964.PA4269 763
208964.PA4269 208964.PA0002 763
208964.PA0002 208964.PA4270 764
208964.PA4270 208964.PA0002 764
208964.PA0002 208964.PA4283 472
208964.PA4283 208964.PA0002 472
208964.PA0002 208964.PA4439 166
208964.PA4439 208964.PA0002 166
208964.PA0002 208964.PA4463 183
208964.PA4463 208964.PA0002 183
208964.PA0002 208964.PA4481 680
208964.PA4481 208964.PA0002 680
208964.PA0002 208964.PA4612 445
208964.PA4612 208964.PA0002 445
208964.PA0002 208964.PA4732 191
208964.PA4732 208964.PA0002 191
208964.PA0002 208964.PA4748 202
208964.PA4748 208964.PA0002 202
208964.PA0002 208964.PA4946 998
208964.PA4946 208964.PA0002 998
208964.PA0002 208964.PA4967 192
208964.PA4967 208964.PA0002 192
208964.PA0002 208964.PA5147 435
208964.PA5147 208964.PA0002 435
208964.PA0002 208964.PA5240 208
208964.PA5240 208964.PA0002 208
208964.PA0002 208964.PA5296 323
208964.PA5296 208964.PA0002 323
208964.PA0002 208964.PA5332 558
208964.PA5332 208964.PA0002 558
208964.PA0002 208964.PA5337 788
208964.PA5337 208964.PA0002 788
208964.PA0002 208964.PA5439 169
208964.PA5439 208964.PA0002 169
208964.PA0002 208964.PA5443 323
208964.PA5443 208964.PA0002 323
208964.PA0002 208964.PA5493 974
208964.PA5493 208964.PA0002 974
208964.PA0002 208964.PA5496 154
208964.PA5496 208964.PA0002 154
208964.PA0002 208964.PA5497 154
208964.PA5497 208964.PA0002 154
208964.PA0002 208964.PA5554 164
208964.PA5554 208964.PA0002 164
208964.PA0003 208964.PA0368 182
208964.PA0368 208964.PA0003 182
208964.PA0003 208964.PA0559 193
208964.PA0559 208964.PA0003 193
208964.PA0003 208964.PA0772 999
208964.PA0772 208964.PA0003 999
208964.PA0003 208964.PA1534 996
208964.PA1534 208964.PA0003 996
208964.PA0003 208964.PA2612 187
208964.PA2612 208964.PA0003 187
208964.PA0003 208964.PA3025 171
208964.PA3025 208964.PA0003 171
208964.PA0003 208964.PA3584 171
208964.PA3584 208964.PA0003 171
208964.PA0003 208964.PA3616 940
208964.PA3616 208964.PA0003 940
208964.PA0003 208964.PA3617 981
208964.PA3617 208964.PA0003 981
208964.PA0003 208964.PA3626 239
208964.PA3626 208964.PA0003 239
208964.PA0003 208964.PA3628 180
208964.PA3628 208964.PA0003 180
208964.PA0003 208964.PA3658 193
208964.PA3658 208964.PA0003 193
208964.PA0003 208964.PA3725 600
208964.PA3725 208964.PA0003 600
208964.PA0003 208964.PA4438 238
208964.PA4438 208964.PA0003 238
208964.PA0004 208964.PA0008 338
208964.PA0008 208964.PA0004 338
208964.PA0004 208964.PA0124 379
208964.PA0124 208964.PA0004 379
208964.PA0004 208964.PA0316 341
208964.PA0316 208964.PA0004 341
208964.PA0004 208964.PA0321 211
208964.PA0321 208964.PA0004 211
208964.PA0004 208964.PA0425 624
208964.PA0425 208964.PA0004 624
208964.PA0004 208964.PA0546 260
