protein1 protein2 combined_score
208964.PA0804 208964.PA5508 212
208964.PA5508 208964.PA0804 212
208964.PA0804 208964.PA5522 212
208964.PA5522 208964.PA0804 212
208964.PA0807 208964.PA1578 573
208964.PA1578 208964.PA0807 573
208964.PA0807 208964.PA1726 464
208964.PA1726 208964.PA0807 464
208964.PA0807 208964.PA1950 451
208964.PA1950 208964.PA0807 451
208964.PA0807 208964.PA2077 575
208964.PA2077 208964.PA0807 575
208964.PA0807 208964.PA2151 462
208964.PA2151 208964.PA0807 462
208964.PA0807 208964.PA2152 462
208964.PA2152 208964.PA0807 462
208964.PA0807 208964.PA2163 550
208964.PA2163 208964.PA0807 550
208964.PA0807 208964.PA2215 397
208964.PA2215 208964.PA0807 397
208964.PA0807 208964.PA2260 425
208964.PA2260 208964.PA0807 425
208964.PA0807 208964.PA2261 451
208964.PA2261 208964.PA0807 451
208964.PA0807 208964.PA2344 451
208964.PA2344 208964.PA0807 451
208964.PA0807 208964.PA2509 397
208964.PA2509 208964.PA0807 397
208964.PA0807 208964.PA2964 458
208964.PA2964 208964.PA0807 458
208964.PA0807 208964.PA3005 464
208964.PA3005 208964.PA0807 464
208964.PA0807 208964.PA4041 397
208964.PA4041 208964.PA0807 397
208964.PA0807 208964.PA5013 458
208964.PA5013 208964.PA0807 458
208964.PA0809 208964.PA1014 222
208964.PA1014 208964.PA0809 222
208964.PA0809 208964.PA1163 222
208964.PA1163 208964.PA0809 222
208964.PA0809 208964.PA1384 436
208964.PA1384 208964.PA0809 436
208964.PA0809 208964.PA1562 154
208964.PA1562 208964.PA0809 154
208964.PA0809 208964.PA2065 168
208964.PA2065 208964.PA0809 168
208964.PA0809 208964.PA2416 463
208964.PA2416 208964.PA0809 463
208964.PA0809 208964.PA2502 188
208964.PA2502 208964.PA0809 188
208964.PA0809 208964.PA2812 222
208964.PA2812 208964.PA0809 222
208964.PA0809 208964.PA2939 353
208964.PA2939 208964.PA0809 353
208964.PA0809 208964.PA3079 162
208964.PA3079 208964.PA0809 162
208964.PA0809 208964.PA3394 222
208964.PA3394 208964.PA0809 222
208964.PA0809 208964.PA3541 222
208964.PA3541 208964.PA0809 222
208964.PA0809 208964.PA3672 222
208964.PA3672 208964.PA0809 222
208964.PA0809 208964.PA3768 168
208964.PA3768 208964.PA0809 168
208964.PA0809 208964.PA4037 222
208964.PA4037 208964.PA0809 222
208964.PA0809 208964.PA4479 162
208964.PA4479 208964.PA0809 162
208964.PA0809 208964.PA4762 170
208964.PA4762 208964.PA0809 170
208964.PA0809 208964.PA5000 222
208964.PA5000 208964.PA0809 222
208964.PA0810 208964.PA0834 232
208964.PA0834 208964.PA0810 232
208964.PA0810 208964.PA0844 399
208964.PA0844 208964.PA0810 399
208964.PA0810 208964.PA1543 464
208964.PA1543 208964.PA0810 464
208964.PA0810 208964.PA1823 466
208964.PA1823 208964.PA0810 466
208964.PA0810 208964.PA1914 604
208964.PA1914 208964.PA0810 604
208964.PA0810 208964.PA1973 159
208964.PA1973 208964.PA0810 159
208964.PA0810 208964.PA2159 395
208964.PA2159 208964.PA0810 395
208964.PA0810 208964.PA2192 395
208964.PA2192 208964.PA0810 395
208964.PA0810 208964.PA2475 304
208964.PA2475 208964.PA0810 304
208964.PA0810 208964.PA2499 401
208964.PA2499 208964.PA0810 401
208964.PA0810 208964.PA2537 232
208964.PA2537 208964.PA0810 232
208964.PA0810 208964.PA2541 277
208964.PA2541 208964.PA0810 277
208964.PA0810 208964.PA2584 277
208964.PA2584 208964.PA0810 277
208964.PA0810 208964.PA2856 458
208964.PA2856 208964.PA0810 458
208964.PA0810 208964.PA3004 786
208964.PA3004 208964.PA0810 786
208964.PA0810 208964.PA3125 458
208964.PA3125 208964.PA0810 458
208964.PA0810 208964.PA3193 618
208964.PA3193 208964.PA0810 618
208964.PA0810 208964.PA3251 410
208964.PA3251 208964.PA0810 410
208964.PA0810 208964.PA3258 395
208964.PA3258 208964.PA0810 395
208964.PA0810 208964.PA3267 232
208964.PA3267 208964.PA0810 232
208964.PA0810 208964.PA3319 399
208964.PA3319 208964.PA0810 399
208964.PA0810 208964.PA3331 304
208964.PA3331 208964.PA0810 304
208964.PA0810 208964.PA3679 304
208964.PA3679 208964.PA0810 304
208964.PA0810 208964.PA3686 301
208964.PA3686 208964.PA0810 301
208964.PA0810 208964.PA3750 458
208964.PA3750 208964.PA0810 458
208964.PA0810 208964.PA3767 401
208964.PA3767 208964.PA0810 401
208964.PA0810 208964.PA3770 774
208964.PA3770 208964.PA0810 774
208964.PA0810 208964.PA3891 395
208964.PA3891 208964.PA0810 395
208964.PA0810 208964.PA3909 658
208964.PA3909 208964.PA0810 658
208964.PA0810 208964.PA4053 402
208964.PA4053 208964.PA0810 402
208964.PA0810 208964.PA4055 503
208964.PA4055 208964.PA0810 503
208964.PA0810 208964.PA4351 232
208964.PA4351 208964.PA0810 232
208964.PA0810 208964.PA4376 601
208964.PA4376 208964.PA0810 601
208964.PA0810 208964.PA4457 395
208964.PA4457 208964.PA0810 395
208964.PA0810 208964.PA4561 486
208964.PA4561 208964.PA0810 486
208964.PA0810 208964.PA4646 611
208964.PA4646 208964.PA0810 611
208964.PA0810 208964.PA4799 301
208964.PA4799 208964.PA0810 301
208964.PA0810 208964.PA4919 601
208964.PA4919 208964.PA0810 601
208964.PA0810 208964.PA5298 464
208964.PA5298 208964.PA0810 464
208964.PA0812 208964.PA1999 554
208964.PA1999 208964.PA0812 554
208964.PA0812 208964.PA2000 554
208964.PA2000 208964.PA0812 554
208964.PA0812 208964.PA2275 460
208964.PA2275 208964.PA0812 460
208964.PA0812 208964.PA2693 359
208964.PA2693 208964.PA0812 359
208964.PA0812 208964.PA3741 359
208964.PA3741 208964.PA0812 359
208964.PA0812 208964.PA5371 359
208964.PA5371 208964.PA0812 359
208964.PA0812 208964.PA5427 460
208964.PA5427 208964.PA0812 460
208964.PA0812 208964.PA5519 359
208964.PA5519 208964.PA0812 359
208964.PA0813 208964.PA0849 515
208964.PA0849 208964.PA0813 515
208964.PA0813 208964.PA0941 209
208964.PA0941 208964.PA0813 209
208964.PA0813 208964.PA1741 209
208964.PA1741 208964.PA0813 209
208964.PA0813 208964.PA2572 407
208964.PA2572 208964.PA0813 407
208964.PA0813 208964.PA2616 515
208964.PA2616 208964.PA0813 515
208964.PA0813 208964.PA2881 407
208964.PA2881 208964.PA0813 407
208964.PA0813 208964.PA3028 273
208964.PA3028 208964.PA0813 273
208964.PA0813 208964.PA3033 209
208964.PA3033 208964.PA0813 209
208964.PA0813 208964.PA3813 270
208964.PA3813 208964.PA0813 270
208964.PA0813 208964.PA3914 273
208964.PA3914 208964.PA0813 273
208964.PA0813 208964.PA4170 515
208964.PA4170 208964.PA0813 515
208964.PA0813 208964.PA4781 407
208964.PA4781 208964.PA0813 407
208964.PA0813 208964.PA5129 209
208964.PA5129 208964.PA0813 209
208964.PA0814 208964.PA3118 218
208964.PA3118 208964.PA0814 218
208964.PA0814 208964.PA4645 218
208964.PA4645 208964.PA0814 218
208964.PA0814 208964.PA4695 236
208964.PA4695 208964.PA0814 236
208964.PA0832 208964.PA1443 189
208964.PA1443 208964.PA0832 189
208964.PA0832 208964.PA1585 189
208964.PA1585 208964.PA0832 189
208964.PA0832 208964.PA1681 259
208964.PA1681 208964.PA0832 259
208964.PA0832 208964.PA3166 207
208964.PA3166 208964.PA0832 207
208964.PA0832 208964.PA3524 938
208964.PA3524 208964.PA0832 938
208964.PA0832 208964.PA3745 211
208964.PA3745 208964.PA0832 211
208964.PA0832 208964.PA3977 161
208964.PA3977 208964.PA0832 161
208964.PA0832 208964.PA4088 161
208964.PA4088 208964.PA0832 161
208964.PA0832 208964.PA4413 198
208964.PA4413 208964.PA0832 198
208964.PA0832 208964.PA4416 209
208964.PA4416 208964.PA0832 209
208964.PA0832 208964.PA4505 225
208964.PA4505 208964.PA0832 225
208964.PA0832 208964.PA5111 691
208964.PA5111 208964.PA0832 691
208964.PA0832 208964.PA5241 237
208964.PA5241 208964.PA0832 237
208964.PA0832 208964.PA5523 161
208964.PA5523 208964.PA0832 161
208964.PA0833 208964.PA1759 165
208964.PA1759 208964.PA0833 165
208964.PA0833 208964.PA1760 165
208964.PA1760 208964.PA0833 165
208964.PA0833 208964.PA2160 232
208964.PA2160 208964.PA0833 232
208964.PA0833 208964.PA3680 199
208964.PA3680 208964.PA0833 199
208964.PA0833 208964.PA4561 199
208964.PA4561 208964.PA0833 199
208964.PA0834 208964.PA0844 234
208964.PA0844 208964.PA0834 234
208964.PA0834 208964.PA1589 247
208964.PA1589 208964.PA0834 247
208964.PA0834 208964.PA1614 576
208964.PA1614 208964.PA0834 576
208964.PA0834 208964.PA1907 323
208964.PA1907 208964.PA0834 323
208964.PA0834 208964.PA2502 234
208964.PA2502 208964.PA0834 234
208964.PA0834 208964.PA2536 407
208964.PA2536 208964.PA0834 407
208964.PA0834 208964.PA2541 223
208964.PA2541 208964.PA0834 223
208964.PA0834 208964.PA2584 223
208964.PA2584 208964.PA0834 223
208964.PA0834 208964.PA2626 261
208964.PA2626 208964.PA0834 261
208964.PA0834 208964.PA3023 221
208964.PA3023 208964.PA0834 221
208964.PA0834 208964.PA3025 397
208964.PA3025 208964.PA0834 397
208964.PA0834 208964.PA3166 253
208964.PA3166 208964.PA0834 253
208964.PA0834 208964.PA3319 234
208964.PA3319 208964.PA0834 234
208964.PA0834 208964.PA3530 408
208964.PA3530 208964.PA0834 408
208964.PA0834 208964.PA3584 397
208964.PA3584 208964.PA0834 397
208964.PA0834 208964.PA3651 581
208964.PA3651 208964.PA0834 581
208964.PA0834 208964.PA3673 228
208964.PA3673 208964.PA0834 228
208964.PA0834 208964.PA3859 323
208964.PA3859 208964.PA0834 323
208964.PA0834 208964.PA4078 259
208964.PA4078 208964.PA0834 259
208964.PA0834 208964.PA4149 221
208964.PA4149 208964.PA0834 221
208964.PA0834 208964.PA4489 237
208964.PA4489 208964.PA0834 237
208964.PA0834 208964.PA4636 228
208964.PA4636 208964.PA0834 228
208964.PA0834 208964.PA4969 234
208964.PA4969 208964.PA0834 234
208964.PA0834 208964.PA5281 232
208964.PA5281 208964.PA0834 232
208964.PA0835 208964.PA0836 999
208964.PA0836 208964.PA0835 999
208964.PA0835 208964.PA0854 675
208964.PA0854 208964.PA0835 675
208964.PA0835 208964.PA0887 601
208964.PA0887 208964.PA0835 601
208964.PA0835 208964.PA0983 304
208964.PA0983 208964.PA0835 304
208964.PA0835 208964.PA0996 601
208964.PA0996 208964.PA0835 601
208964.PA0835 208964.PA1016 901
208964.PA1016 208964.PA0835 901
208964.PA0835 208964.PA1017 740
208964.PA1017 208964.PA0835 740
208964.PA0835 208964.PA1027 923
208964.PA1027 208964.PA0835 923
208964.PA0835 208964.PA1146 553
208964.PA1146 208964.PA0835 553
208964.PA0835 208964.PA1176 853
208964.PA1176 208964.PA0835 853
208964.PA0835 208964.PA1217 306
208964.PA1217 208964.PA0835 306
208964.PA0835 208964.PA1500 755
208964.PA1500 208964.PA0835 755
208964.PA0835 208964.PA1576 755
208964.PA1576 208964.PA0835 755
208964.PA0835 208964.PA1588 922
208964.PA1588 208964.PA0835 922
208964.PA0835 208964.PA1589 922
208964.PA1589 208964.PA0835 922
208964.PA0835 208964.PA1736 955
208964.PA1736 208964.PA0835 955
208964.PA0835 208964.PA1793 189
208964.PA1793 208964.PA0835 189
208964.PA0835 208964.PA1800 187
208964.PA1800 208964.PA0835 187
208964.PA0835 208964.PA1991 553
208964.PA1991 208964.PA0835 553
208964.PA0835 208964.PA1999 582
208964.PA1999 208964.PA0835 582
208964.PA0835 208964.PA2000 582
208964.PA2000 208964.PA0835 582
208964.PA0835 208964.PA2001 528
208964.PA2001 208964.PA0835 528
208964.PA0835 208964.PA2011 306
208964.PA2011 208964.PA0835 306
208964.PA0835 208964.PA2012 740
208964.PA2012 208964.PA0835 740
208964.PA0835 208964.PA2014 674
208964.PA2014 208964.PA0835 674
208964.PA0835 208964.PA2035 565
208964.PA2035 208964.PA0835 565
208964.PA0835 208964.PA2081 795
208964.PA2081 208964.PA0835 795
208964.PA0835 208964.PA2126 202
208964.PA2126 208964.PA0835 202
208964.PA0835 208964.PA2199 893
208964.PA2199 208964.PA0835 893
208964.PA0835 208964.PA2249 675
208964.PA2249 208964.PA0835 675
208964.PA0835 208964.PA2553 947
208964.PA2553 208964.PA0835 947
208964.PA0835 208964.PA2555 601
208964.PA2555 208964.PA0835 601
208964.PA0835 208964.PA2641 795
208964.PA2641 208964.PA0835 795
208964.PA0835 208964.PA2644 789
208964.PA2644 208964.PA0835 789
208964.PA0835 208964.PA2684 181
208964.PA2684 208964.PA0835 181
208964.PA0835 208964.PA2888 674
208964.PA2888 208964.PA0835 674
208964.PA0835 208964.PA2891 740
208964.PA2891 208964.PA0835 740
208964.PA0835 208964.PA2940 528
208964.PA2940 208964.PA0835 528
208964.PA0835 208964.PA3013 528
208964.PA3013 208964.PA0835 528
208964.PA0835 208964.PA3112 961
208964.PA3112 208964.PA0835 961
208964.PA0835 208964.PA3120 785
208964.PA3120 208964.PA0835 785
208964.PA0835 208964.PA3121 782
208964.PA3121 208964.PA0835 782
208964.PA0835 208964.PA3415 826
208964.PA3415 208964.PA0835 826
208964.PA0835 208964.PA3454 528
208964.PA3454 208964.PA0835 528
208964.PA0835 208964.PA3471 288
208964.PA3471 208964.PA0835 288
208964.PA0835 208964.PA3568 601
208964.PA3568 208964.PA0835 601
208964.PA0835 208964.PA3569 752
208964.PA3569 208964.PA0835 752
208964.PA0835 208964.PA3570 677
208964.PA3570 208964.PA0835 677
208964.PA0835 208964.PA3589 528
208964.PA3589 208964.PA0835 528
208964.PA0835 208964.PA3639 961
208964.PA3639 208964.PA0835 961
208964.PA0835 208964.PA3659 179
208964.PA3659 208964.PA0835 179
208964.PA0835 208964.PA3792 306
208964.PA3792 208964.PA0835 306
208964.PA0835 208964.PA3925 966
208964.PA3925 208964.PA0835 966
208964.PA0835 208964.PA4180 565
208964.PA4180 208964.PA0835 565
208964.PA0835 208964.PA4238 189
208964.PA4238 208964.PA0835 189
208964.PA0835 208964.PA4248 189
208964.PA4248 208964.PA0835 189
208964.PA0835 208964.PA4333 797
208964.PA4333 208964.PA0835 797
208964.PA0835 208964.PA4470 675
208964.PA4470 208964.PA0835 675
208964.PA0835 208964.PA4695 795
208964.PA4695 208964.PA0835 795
208964.PA0835 208964.PA4696 565
208964.PA4696 208964.PA0835 565
208964.PA0835 208964.PA4715 179
208964.PA4715 208964.PA0835 179
208964.PA0835 208964.PA4733 601
208964.PA4733 208964.PA0835 601
208964.PA0835 208964.PA4759 208
208964.PA4759 208964.PA0835 208
208964.PA0835 208964.PA4760 190
208964.PA4760 208964.PA0835 190
208964.PA0835 208964.PA4785 385
208964.PA4785 208964.PA0835 385
208964.PA0835 208964.PA4807 181
208964.PA4807 208964.PA0835 181
208964.PA0835 208964.PA4810 795
208964.PA4810 208964.PA0835 795
208964.PA0835 208964.PA4811 795
208964.PA4811 208964.PA0835 795
208964.PA0835 208964.PA4812 795
208964.PA4812 208964.PA0835 795
208964.PA0835 208964.PA4847 996
208964.PA4847 208964.PA0835 996
208964.PA0835 208964.PA4848 970
208964.PA4848 208964.PA0835 970
208964.PA0835 208964.PA4870 184
208964.PA4870 208964.PA0835 184
208964.PA0835 208964.PA4901 795
208964.PA4901 208964.PA0835 795
208964.PA0835 208964.PA4978 740
208964.PA4978 208964.PA0835 740
208964.PA0835 208964.PA5016 675
208964.PA5016 208964.PA0835 675
208964.PA0835 208964.PA5046 288
208964.PA5046 208964.PA0835 288
208964.PA0835 208964.PA5094 179
208964.PA5094 208964.PA0835 179
208964.PA0835 208964.PA5186 553
208964.PA5186 208964.PA0835 553
208964.PA0835 208964.PA5253 789
208964.PA5253 208964.PA0835 789
208964.PA0835 208964.PA5376 179
208964.PA5376 208964.PA0835 179
208964.PA0835 208964.PA5435 808
208964.PA5435 208964.PA0835 808
208964.PA0835 208964.PA5436 878
208964.PA5436 208964.PA0835 878
208964.PA0835 208964.PA5552 461
208964.PA5552 208964.PA0835 461
208964.PA0835 208964.PA5553 899
208964.PA5553 208964.PA0835 899
208964.PA0835 208964.PA5554 899
208964.PA5554 208964.PA0835 899
208964.PA0835 208964.PA5555 899
208964.PA5555 208964.PA0835 899
208964.PA0835 208964.PA5556 899
208964.PA5556 208964.PA0835 899
208964.PA0835 208964.PA5557 899
208964.PA5557 208964.PA0835 899
208964.PA0835 208964.PA5558 899
208964.PA5558 208964.PA0835 899
208964.PA0835 208964.PA5560 899
208964.PA5560 208964.PA0835 899
208964.PA0836 208964.PA0887 601
208964.PA0887 208964.PA0836 601
208964.PA0836 208964.PA0996 601
208964.PA0996 208964.PA0836 601
208964.PA0836 208964.PA1017 758
208964.PA1017 208964.PA0836 758
208964.PA0836 208964.PA1027 923
208964.PA1027 208964.PA0836 923
208964.PA0836 208964.PA1417 397
208964.PA1417 208964.PA0836 397
208964.PA0836 208964.PA1580 558
208964.PA1580 208964.PA0836 558
208964.PA0836 208964.PA1583 500
208964.PA1583 208964.PA0836 500
208964.PA0836 208964.PA1584 595
208964.PA1584 208964.PA0836 595
208964.PA0836 208964.PA1949 171
208964.PA1949 208964.PA0836 171
208964.PA0836 208964.PA2035 397
208964.PA2035 208964.PA0836 397
208964.PA0836 208964.PA2108 397
208964.PA2108 208964.PA0836 397
208964.PA0836 208964.PA2243 500
208964.PA2243 208964.PA0836 500
208964.PA0836 208964.PA2259 171
208964.PA2259 208964.PA0836 171
208964.PA0836 208964.PA2298 500
208964.PA2298 208964.PA0836 500
208964.PA0836 208964.PA2320 171
208964.PA2320 208964.PA0836 171
208964.PA0836 208964.PA2555 601
208964.PA2555 208964.PA0836 601
208964.PA0836 208964.PA2691 160
208964.PA2691 208964.PA0836 160
208964.PA0836 208964.PA2973 182
208964.PA2973 208964.PA0836 182
208964.PA0836 208964.PA3302 783
208964.PA3302 208964.PA0836 783
208964.PA0836 208964.PA3506 397
208964.PA3506 208964.PA0836 397
208964.PA0836 208964.PA3562 206
208964.PA3562 208964.PA0836 206
208964.PA0836 208964.PA3563 171
208964.PA3563 208964.PA0836 171
208964.PA0836 208964.PA3568 601
208964.PA3568 208964.PA0836 601
208964.PA0836 208964.PA3700 180
208964.PA3700 208964.PA0836 180
208964.PA0836 208964.PA3760 206
208964.PA3760 208964.PA0836 206
208964.PA0836 208964.PA3996 627
208964.PA3996 208964.PA0836 627
208964.PA0836 208964.PA4180 397
208964.PA4180 208964.PA0836 397
208964.PA0836 208964.PA4538 160
208964.PA4538 208964.PA0836 160
208964.PA0836 208964.PA4606 239
208964.PA4606 208964.PA0836 239
208964.PA0836 208964.PA4696 397
208964.PA4696 208964.PA0836 397
208964.PA0836 208964.PA4733 601
208964.PA4733 208964.PA0836 601
208964.PA0836 208964.PA4772 595
208964.PA4772 208964.PA0836 595
208964.PA0836 208964.PA4901 397
208964.PA4901 208964.PA0836 397
208964.PA0836 208964.PA4944 672
208964.PA4944 208964.PA0836 672
208964.PA0836 208964.PA4977 397
208964.PA4977 208964.PA0836 397
208964.PA0836 208964.PA4978 758
208964.PA4978 208964.PA0836 758
208964.PA0836 208964.PA5297 397
208964.PA5297 208964.PA0836 397
208964.PA0836 208964.PA5445 781
208964.PA5445 208964.PA0836 781
208964.PA0837 208964.PA0964 189
208964.PA0964 208964.PA0837 189
208964.PA0837 208964.PA1092 194
208964.PA1092 208964.PA0837 194
208964.PA0837 208964.PA1686 182
208964.PA1686 208964.PA0837 182
208964.PA0837 208964.PA1800 193
208964.PA1800 208964.PA0837 193
208964.PA0837 208964.PA2471 171
208964.PA2471 208964.PA0837 171
208964.PA0837 208964.PA3049 681
208964.PA3049 208964.PA0837 681
208964.PA0837 208964.PA3225 185
208964.PA3225 208964.PA0837 185
208964.PA0837 208964.PA3243 741
208964.PA3243 208964.PA0837 741
208964.PA0837 208964.PA3533 193
208964.PA3533 208964.PA0837 193
208964.PA0837 208964.PA3818 185
208964.PA3818 208964.PA0837 185
208964.PA0837 208964.PA3854 194
208964.PA3854 208964.PA0837 194
208964.PA0837 208964.PA3872 188
208964.PA3872 208964.PA0837 188
208964.PA0837 208964.PA4239 194
208964.PA4239 208964.PA0837 194
208964.PA0837 208964.PA4246 194
208964.PA4246 208964.PA0837 194
208964.PA0837 208964.PA4251 194
208964.PA4251 208964.PA0837 194
208964.PA0837 208964.PA4427 189
208964.PA4427 208964.PA0837 189
208964.PA0837 208964.PA4558 194
208964.PA4558 208964.PA0837 194
208964.PA0837 208964.PA4566 194
208964.PA4566 208964.PA0837 194
208964.PA0837 208964.PA4567 195
208964.PA4567 208964.PA0837 195
208964.PA0837 208964.PA4587 199
208964.PA4587 208964.PA0837 199
208964.PA0837 208964.PA4721 194
208964.PA4721 208964.PA0837 194
208964.PA0837 208964.PA4761 874
208964.PA4761 208964.PA0837 874
208964.PA0837 208964.PA4766 194
208964.PA4766 208964.PA0837 194
208964.PA0837 208964.PA4809 194
208964.PA4809 208964.PA0837 194
208964.PA0837 208964.PA4893 893
208964.PA4893 208964.PA0837 893
208964.PA0837 208964.PA5240 360
208964.PA5240 208964.PA0837 360
208964.PA0837 208964.PA5353 200
208964.PA5353 208964.PA0837 200
208964.PA0838 208964.PA0844 236
208964.PA0844 208964.PA0838 236
208964.PA0838 208964.PA1135 198
208964.PA1135 208964.PA0838 198
208964.PA0838 208964.PA1338 893
208964.PA1338 208964.PA0838 893
208964.PA0838 208964.PA1466 650
208964.PA1466 208964.PA0838 650
208964.PA0838 208964.PA1655 986
208964.PA1655 208964.PA0838 986
208964.PA0838 208964.PA1890 650
208964.PA1890 208964.PA0838 650
208964.PA0838 208964.PA2475 289
208964.PA2475 208964.PA0838 289
208964.PA0838 208964.PA2541 231
208964.PA2541 208964.PA0838 231
208964.PA0838 208964.PA2584 231
208964.PA2584 208964.PA0838 231
208964.PA0838 208964.PA2641 371
208964.PA2641 208964.PA0838 371
208964.PA0838 208964.PA2813 986
208964.PA2813 208964.PA0838 986
208964.PA0838 208964.PA2821 650
208964.PA2821 208964.PA0838 650
208964.PA0838 208964.PA2876 338
208964.PA2876 208964.PA0838 338
208964.PA0838 208964.PA3035 929
208964.PA3035 208964.PA0838 929
208964.PA0838 208964.PA3319 236
208964.PA3319 208964.PA0838 236
208964.PA0838 208964.PA3331 289
208964.PA3331 208964.PA0838 289
208964.PA0838 208964.PA3453 199
208964.PA3453 208964.PA0838 199
208964.PA0838 208964.PA3471 219
208964.PA3471 208964.PA0838 219
208964.PA0838 208964.PA3679 289
208964.PA3679 208964.PA0838 289
208964.PA0838 208964.PA3810 207
208964.PA3810 208964.PA0838 207
208964.PA0838 208964.PA3818 379
208964.PA3818 208964.PA0838 379
208964.PA0838 208964.PA3834 371
208964.PA3834 208964.PA0838 371
208964.PA0838 208964.PA3844 778
208964.PA3844 208964.PA0838 778
208964.PA0838 208964.PA3852 680
208964.PA3852 208964.PA0838 680
208964.PA0838 208964.PA4386 166
208964.PA4386 208964.PA0838 166
208964.PA0838 208964.PA4401 650
208964.PA4401 208964.PA0838 650
208964.PA0838 208964.PA4566 193
208964.PA4566 208964.PA0838 193
208964.PA0838 208964.PA4748 160
208964.PA4748 208964.PA0838 160
208964.PA0838 208964.PA4761 207
208964.PA4761 208964.PA0838 207
208964.PA0838 208964.PA4873 207
208964.PA4873 208964.PA0838 207
208964.PA0838 208964.PA5018 169
208964.PA5018 208964.PA0838 169
208964.PA0838 208964.PA5129 188
208964.PA5129 208964.PA0838 188
208964.PA0838 208964.PA5175 320
208964.PA5175 208964.PA0838 320
208964.PA0838 208964.PA5445 193
208964.PA5445 208964.PA0838 193
208964.PA0844 208964.PA1287 236
208964.PA1287 208964.PA0844 236
208964.PA0844 208964.PA1640 299
208964.PA1640 208964.PA0844 299
208964.PA0844 208964.PA2065 268
208964.PA2065 208964.PA0844 268
208964.PA0844 208964.PA2124 667
208964.PA2124 208964.PA0844 667
208964.PA0844 208964.PA2155 572
208964.PA2155 208964.PA0844 572
208964.PA0844 208964.PA2537 234
208964.PA2537 208964.PA0844 234
208964.PA0844 208964.PA2539 299
208964.PA2539 208964.PA0844 299
208964.PA0844 208964.PA2541 406
208964.PA2541 208964.PA0844 406
208964.PA0844 208964.PA2584 664
208964.PA2584 208964.PA0844 664
208964.PA0844 208964.PA2626 480
208964.PA2626 208964.PA0844 480
208964.PA0844 208964.PA2660 299
208964.PA2660 208964.PA0844 299
208964.PA0844 208964.PA2826 236
208964.PA2826 208964.PA0844 236
208964.PA0844 208964.PA3241 299
208964.PA3241 208964.PA0844 299
208964.PA0844 208964.PA3267 234
208964.PA3267 208964.PA0844 234
208964.PA0844 208964.PA3297 304
208964.PA3297 208964.PA0844 304
208964.PA0844 208964.PA3339 299
208964.PA3339 208964.PA0844 299
208964.PA0844 208964.PA3710 569
208964.PA3710 208964.PA0844 569
208964.PA0844 208964.PA3768 268
208964.PA3768 208964.PA0844 268
208964.PA0844 208964.PA3818 946
208964.PA3818 208964.PA0844 946
208964.PA0844 208964.PA3961 304
208964.PA3961 208964.PA0844 304
208964.PA0844 208964.PA4011 299
208964.PA4011 208964.PA0844 299
208964.PA0844 208964.PA4050 754
208964.PA4050 208964.PA0844 754
208964.PA0844 208964.PA4100 569
208964.PA4100 208964.PA0844 569
208964.PA0844 208964.PA4339 572
208964.PA4339 208964.PA0844 572
208964.PA0844 208964.PA4351 234
208964.PA4351 208964.PA0844 234
208964.PA0844 208964.PA4693 652
208964.PA4693 208964.PA0844 652
208964.PA0844 208964.PA4957 413
208964.PA4957 208964.PA0844 413
208964.PA0844 208964.PA5194 299
208964.PA5194 208964.PA0844 299
208964.PA0844 208964.PA5281 399
208964.PA5281 208964.PA0844 399
208964.PA0844 208964.PA5310 767
208964.PA5310 208964.PA0844 767
208964.PA0844 208964.PA5372 569
208964.PA5372 208964.PA0844 569
208964.PA0844 208964.PA5394 572
208964.PA5394 208964.PA0844 572
208964.PA0844 208964.PA5410 722
208964.PA5410 208964.PA0844 722
208964.PA0845 208964.PA0855 457
208964.PA0855 208964.PA0845 457
208964.PA0845 208964.PA1046 550
208964.PA1046 208964.PA0845 550
208964.PA0845 208964.PA1293 458
208964.PA1293 208964.PA0845 458
208964.PA0845 208964.PA1578 550
208964.PA1578 208964.PA0845 550
208964.PA0845 208964.PA1688 458
208964.PA1688 208964.PA0845 458
208964.PA0845 208964.PA1740 458
208964.PA1740 208964.PA0845 458
208964.PA0845 208964.PA1950 431
208964.PA1950 208964.PA0845 431
208964.PA0845 208964.PA2144 550
208964.PA2144 208964.PA0845 550
208964.PA0845 208964.PA2151 427
208964.PA2151 208964.PA0845 427
208964.PA0845 208964.PA2152 427
208964.PA2152 208964.PA0845 427
208964.PA0845 208964.PA2160 513
208964.PA2160 208964.PA0845 513
208964.PA0845 208964.PA2163 540
208964.PA2163 208964.PA0845 540
208964.PA0845 208964.PA2247 400
208964.PA2247 208964.PA0845 400
208964.PA0845 208964.PA2248 400
208964.PA2248 208964.PA0845 400
208964.PA0845 208964.PA2261 431
208964.PA2261 208964.PA0845 431
208964.PA0845 208964.PA2344 431
208964.PA2344 208964.PA0845 431
208964.PA0845 208964.PA2451 462
208964.PA2451 208964.PA0845 462
208964.PA0845 208964.PA2452 462
208964.PA2452 208964.PA0845 462
208964.PA0845 208964.PA3342 457
208964.PA3342 208964.PA0845 457
208964.PA0845 208964.PA3416 400
208964.PA3416 208964.PA0845 400
208964.PA0845 208964.PA3417 400
208964.PA3417 208964.PA0845 400
208964.PA0845 208964.PA4150 400
208964.PA4150 208964.PA0845 400
208964.PA0845 208964.PA4151 400
208964.PA4151 208964.PA0845 400
208964.PA0846 208964.PA2627 199
208964.PA2627 208964.PA0846 199
208964.PA0846 208964.PA4446 170
