protein1 protein2 experimental database textmining combined_score
1028307.EAE_00300 1028307.EAE_04670 0 0 197 197
1028307.EAE_00300 1028307.EAE_19780 190 0 0 190
1028307.EAE_00300 1028307.EAE_20655 190 0 0 190
1028307.EAE_00300 1028307.EAE_04480 269 0 464 591
1028307.EAE_00300 1028307.EAE_14360 0 0 199 199
1028307.EAE_00300 1028307.EAE_19535 162 0 63 181
1028307.EAE_00300 1028307.EAE_01975 203 0 446 539
1028307.EAE_00300 1028307.EAE_14910 162 0 77 193
1028307.EAE_00300 1028307.EAE_23265 113 0 183 244
1028307.EAE_00300 1028307.EAE_07525 162 0 77 193
1028307.EAE_00300 1028307.EAE_08810 0 0 184 183
1028307.EAE_00300 1028307.EAE_15635 167 0 0 167
1028307.EAE_00300 1028307.EAE_05920 0 0 184 183
1028307.EAE_00300 1028307.EAE_18635 0 0 381 381
1028307.EAE_00300 1028307.EAE_12440 0 0 182 181
1028307.EAE_00300 1028307.EAE_18495 0 0 440 440
1028307.EAE_00300 1028307.EAE_21250 190 0 0 190
1028307.EAE_00300 1028307.EAE_10665 162 0 77 193
1028307.EAE_00300 1028307.EAE_15525 42 0 348 348
1028307.EAE_00300 1028307.EAE_24225 267 0 270 442
1028307.EAE_00300 1028307.EAE_08675 107 0 336 381
1028307.EAE_00300 1028307.EAE_14070 162 0 77 193
1028307.EAE_00300 1028307.EAE_15505 212 0 52 221
1028307.EAE_00300 1028307.EAE_05925 0 0 184 183
1028307.EAE_00300 1028307.EAE_00630 0 0 290 290
1028307.EAE_00300 1028307.EAE_24215 169 0 269 366
1028307.EAE_00300 1028307.EAE_18315 113 0 183 244
1028307.EAE_00300 1028307.EAE_21255 190 0 0 190
1028307.EAE_00300 1028307.EAE_21400 113 0 183 244
1028307.EAE_00300 1028307.EAE_23610 162 0 77 193
1028307.EAE_00300 1028307.EAE_12090 0 0 192 192
1028307.EAE_00300 1028307.EAE_18070 162 0 77 193
1028307.EAE_00300 1028307.EAE_09995 0 0 182 181
1028307.EAE_00300 1028307.EAE_24295 162 0 63 181
1028307.EAE_00300 1028307.EAE_01075 0 0 210 210
1028307.EAE_00300 1028307.EAE_14745 190 0 0 190
1028307.EAE_00300 1028307.EAE_05240 162 0 77 193
1028307.EAE_00300 1028307.EAE_24095 190 0 0 190
1028307.EAE_00300 1028307.EAE_14475 162 0 63 181
1028307.EAE_00300 1028307.EAE_21395 113 0 183 244
1028307.EAE_00300 1028307.EAE_05905 113 0 183 244
1028307.EAE_00320 1028307.EAE_04835 288 0 0 288
1028307.EAE_00320 1028307.EAE_13895 281 682 0 761
1028307.EAE_00320 1028307.EAE_04845 288 0 0 288
1028307.EAE_00320 1028307.EAE_04330 274 0 59 287
1028307.EAE_00320 1028307.EAE_04260 288 110 0 339
1028307.EAE_00320 1028307.EAE_00360 186 0 0 186
1028307.EAE_00320 1028307.EAE_11770 216 680 402 836
1028307.EAE_00320 1028307.EAE_04840 288 78 0 315
1028307.EAE_00320 1028307.EAE_10845 282 682 270 818
1028307.EAE_00320 1028307.EAE_04855 282 0 0 282
1028307.EAE_00320 1028307.EAE_16930 288 261 0 451
1028307.EAE_00320 1028307.EAE_01115 235 0 0 235
1028307.EAE_00320 1028307.EAE_04275 278 0 0 278
1028307.EAE_00320 1028307.EAE_17905 161 426 0 497
1028307.EAE_00320 1028307.EAE_04920 288 261 0 451
1028307.EAE_00320 1028307.EAE_04875 288 431 0 577
1028307.EAE_00320 1028307.EAE_04950 288 261 0 451
1028307.EAE_00320 1028307.EAE_22915 288 681 499 876
1028307.EAE_00320 1028307.EAE_08455 0 143 49 150
1028307.EAE_00320 1028307.EAE_23755 288 687 560 893
1028307.EAE_00320 1028307.EAE_04885 288 0 0 288
1028307.EAE_00320 1028307.EAE_09200 227 0 0 226
1028307.EAE_00320 1028307.EAE_04910 288 110 0 339
1028307.EAE_00320 1028307.EAE_19750 110 439 0 479
1028307.EAE_00320 1028307.EAE_04895 288 557 0 671
1028307.EAE_00320 1028307.EAE_24495 161 426 0 497
1028307.EAE_00320 1028307.EAE_11640 288 110 0 339
1028307.EAE_00320 1028307.EAE_05835 161 426 0 497
1028307.EAE_00320 1028307.EAE_10625 110 439 0 479
1028307.EAE_00320 1028307.EAE_22545 193 0 0 193
1028307.EAE_00320 1028307.EAE_15250 287 686 250 817
1028307.EAE_00320 1028307.EAE_19165 288 0 0 288
1028307.EAE_00320 1028307.EAE_04995 288 533 0 653
1028307.EAE_00320 1028307.EAE_11530 102 430 0 466
1028307.EAE_00320 1028307.EAE_21720 111 481 76 536
1028307.EAE_00320 1028307.EAE_20370 111 481 76 536
1028307.EAE_00320 1028307.EAE_02970 111 481 76 536
1028307.EAE_00320 1028307.EAE_05050 110 439 0 479
1028307.EAE_00320 1028307.EAE_04870 288 78 0 315
1028307.EAE_00320 1028307.EAE_23870 0 143 85 182
1028307.EAE_00320 1028307.EAE_03460 161 426 0 497
1028307.EAE_00320 1028307.EAE_04960 288 78 0 315
1028307.EAE_00320 1028307.EAE_15835 76 0 136 167
1028307.EAE_00320 1028307.EAE_23880 161 426 0 497
1028307.EAE_00320 1028307.EAE_06085 110 439 0 479
1028307.EAE_00320 1028307.EAE_23345 278 420 0 563
1028307.EAE_00320 1028307.EAE_04890 288 533 0 653
1028307.EAE_00320 1028307.EAE_04865 288 261 0 451
1028307.EAE_00320 1028307.EAE_04945 288 261 91 479
1028307.EAE_00320 1028307.EAE_04880 288 261 0 451
1028307.EAE_00320 1028307.EAE_14780 161 426 0 497
1028307.EAE_00320 1028307.EAE_02795 200 611 223 737
1028307.EAE_00320 1028307.EAE_04915 288 261 0 451
1028307.EAE_00320 1028307.EAE_08565 161 426 0 497
1028307.EAE_00320 1028307.EAE_02310 288 0 0 288
1028307.EAE_00320 1028307.EAE_24045 227 0 0 226
1028307.EAE_00320 1028307.EAE_15310 110 439 0 479
1028307.EAE_00320 1028307.EAE_08115 288 261 0 451
1028307.EAE_00320 1028307.EAE_04930 288 261 0 451
1028307.EAE_00320 1028307.EAE_04905 288 261 0 451
1028307.EAE_00320 1028307.EAE_20440 102 430 0 466
1028307.EAE_00320 1028307.EAE_04860 288 261 0 451
1028307.EAE_00320 1028307.EAE_04935 288 0 0 288
1028307.EAE_00320 1028307.EAE_19985 161 426 0 497
1028307.EAE_00320 1028307.EAE_17895 0 0 246 245
1028307.EAE_00320 1028307.EAE_04940 288 557 0 671
1028307.EAE_00320 1028307.EAE_13260 200 611 223 737
1028307.EAE_00320 1028307.EAE_04515 288 542 214 721
1028307.EAE_00320 1028307.EAE_08110 288 533 0 653
1028307.EAE_00320 1028307.EAE_18845 192 0 0 192
1028307.EAE_00320 1028307.EAE_00400 186 0 0 186
1028307.EAE_00320 1028307.EAE_09755 171 0 0 171
1028307.EAE_00320 1028307.EAE_04985 278 420 0 563
1028307.EAE_00320 1028307.EAE_04990 288 0 0 288
1028307.EAE_00320 1028307.EAE_11635 267 0 0 267
1028307.EAE_00320 1028307.EAE_05535 200 0 0 200
1028307.EAE_00320 1028307.EAE_16975 69 0 248 269
1028307.EAE_00320 1028307.EAE_06185 161 426 0 497
1028307.EAE_00320 1028307.EAE_14690 110 439 0 479
1028307.EAE_00320 1028307.EAE_04925 288 110 0 339
1028307.EAE_00320 1028307.EAE_04720 0 143 49 150
1028307.EAE_00320 1028307.EAE_24490 161 426 0 497
1028307.EAE_00320 1028307.EAE_04955 288 261 0 451
1028307.EAE_00320 1028307.EAE_04900 288 261 0 451
1028307.EAE_00320 1028307.EAE_04505 161 426 0 497
1028307.EAE_00320 1028307.EAE_08105 288 261 194 538
1028307.EAE_00325 1028307.EAE_19635 81 426 0 449
1028307.EAE_00325 1028307.EAE_03275 76 311 61 349
1028307.EAE_00325 1028307.EAE_09705 81 426 0 449
1028307.EAE_00325 1028307.EAE_13495 81 426 0 449
1028307.EAE_00325 1028307.EAE_11015 166 0 0 165
1028307.EAE_00325 1028307.EAE_11465 80 442 0 464
1028307.EAE_00325 1028307.EAE_19345 114 0 91 160
1028307.EAE_00325 1028307.EAE_08065 455 0 344 627
1028307.EAE_00325 1028307.EAE_12835 76 311 61 349
1028307.EAE_00325 1028307.EAE_12830 76 311 61 349
1028307.EAE_00325 1028307.EAE_22715 166 0 0 165
1028307.EAE_00325 1028307.EAE_16675 80 442 0 464
1028307.EAE_00325 1028307.EAE_14555 80 442 0 464
1028307.EAE_00325 1028307.EAE_15170 76 311 61 349
1028307.EAE_00325 1028307.EAE_04415 194 0 0 194
1028307.EAE_00345 1028307.EAE_07260 164 0 0 163
1028307.EAE_00345 1028307.EAE_14490 164 0 0 163
1028307.EAE_00345 1028307.EAE_21345 164 0 0 163
1028307.EAE_00345 1028307.EAE_13895 264 0 0 264
1028307.EAE_00345 1028307.EAE_10845 164 0 0 163
