protein1 protein2 experimental database textmining combined_score
573.JG24_00115 573.JG24_01150 0 0 167 167
573.JG24_00115 573.JG24_00130 144 0 488 542
573.JG24_00115 573.JG24_03235 0 0 205 205
573.JG24_00115 573.JG24_00135 0 0 488 487
573.JG24_00125 573.JG24_30550 249 0 149 333
573.JG24_00125 573.JG24_01150 243 0 167 342
573.JG24_00125 573.JG24_02245 243 0 167 342
573.JG24_00125 573.JG24_00150 249 0 650 725
573.JG24_00125 573.JG24_00130 969 0 488 983
573.JG24_00125 573.JG24_00135 0 0 488 487
573.JG24_00125 573.JG24_30505 249 0 149 333
573.JG24_00125 573.JG24_00470 249 0 149 333
573.JG24_00125 573.JG24_21155 262 0 0 262
573.JG24_00125 573.JG24_01240 249 0 149 333
573.JG24_00125 573.JG24_02620 249 0 149 333
573.JG24_00125 573.JG24_24785 262 0 0 262
573.JG24_00125 573.JG24_00140 0 0 488 487
573.JG24_00125 573.JG24_20070 262 0 0 262
573.JG24_00125 573.JG24_20745 261 0 0 261
573.JG24_00125 573.JG24_00115 0 0 475 475
573.JG24_00125 573.JG24_00110 243 0 201 369
573.JG24_00125 573.JG24_02000 249 0 149 333
573.JG24_00125 573.JG24_00520 249 0 149 333
573.JG24_00125 573.JG24_02395 243 0 167 342
573.JG24_00125 573.JG24_02035 243 0 167 342
573.JG24_00125 573.JG24_02885 243 0 167 342
573.JG24_00125 573.JG24_01970 0 0 280 280
573.JG24_00130 573.JG24_00140 139 0 488 540
573.JG24_00130 573.JG24_20070 262 0 0 262
573.JG24_00130 573.JG24_18510 266 0 0 266
573.JG24_00130 573.JG24_02825 0 0 202 202
573.JG24_00130 573.JG24_00160 0 0 153 152
573.JG24_00130 573.JG24_24785 262 0 0 262
573.JG24_00130 573.JG24_00125 969 0 488 983
573.JG24_00130 573.JG24_21155 262 0 0 262
573.JG24_00130 573.JG24_02855 0 0 201 201
573.JG24_00130 573.JG24_01185 0 0 201 201
573.JG24_00130 573.JG24_00135 0 0 488 487
573.JG24_00130 573.JG24_03235 0 0 207 207
573.JG24_00130 573.JG24_00115 144 0 488 542
573.JG24_00130 573.JG24_00150 0 0 650 650
573.JG24_00130 573.JG24_01210 0 0 202 202
573.JG24_00130 573.JG24_08685 249 0 0 248
573.JG24_00130 573.JG24_00490 0 0 202 202
573.JG24_00135 573.JG24_00130 0 0 488 487
573.JG24_00135 573.JG24_30505 116 0 149 215
573.JG24_00135 573.JG24_08685 249 0 0 248
573.JG24_00135 573.JG24_01150 0 0 167 167
573.JG24_00135 573.JG24_00150 116 0 650 677
573.JG24_00135 573.JG24_02245 0 0 167 167
573.JG24_00135 573.JG24_00140 0 0 488 487
573.JG24_00135 573.JG24_20745 261 0 0 261
573.JG24_00135 573.JG24_00470 116 0 149 215
573.JG24_00135 573.JG24_01240 116 0 149 215
573.JG24_00135 573.JG24_02620 116 0 149 215
573.JG24_00135 573.JG24_30550 116 0 149 215
573.JG24_00135 573.JG24_00115 0 0 488 487
573.JG24_00135 573.JG24_02000 116 0 149 215
573.JG24_00135 573.JG24_00110 0 0 410 410
573.JG24_00135 573.JG24_00145 0 0 289 288
573.JG24_00135 573.JG24_02885 0 0 167 167
573.JG24_00135 573.JG24_00125 0 0 488 487
573.JG24_00135 573.JG24_00520 116 0 149 215
573.JG24_00135 573.JG24_02395 0 0 167 167
573.JG24_00135 573.JG24_02035 0 0 167 167
573.JG24_00140 573.JG24_02395 0 0 167 167
573.JG24_00140 573.JG24_00150 0 0 650 650
573.JG24_00140 573.JG24_00110 0 0 167 167
573.JG24_00140 573.JG24_00135 0 0 488 487
573.JG24_00140 573.JG24_02245 0 0 167 167
573.JG24_00140 573.JG24_02035 0 0 167 167
