protein1 protein2 experimental database textmining combined_score
1280.SAXN108_0003 1280.SAXN108_0637 381 0 0 381
1280.SAXN108_0003 1280.SAXN108_2004 0 0 203 203
1280.SAXN108_0003 1280.SAXN108_2135 170 0 0 169
1280.SAXN108_0003 1280.SAXN108_0001 384 0 402 615
1280.SAXN108_0003 1280.SAXN108_1716 515 277 524 818
1280.SAXN108_0003 1280.SAXN108_2224 0 0 208 208
1280.SAXN108_0003 1280.SAXN108_1584 0 0 422 422
1280.SAXN108_0003 1280.SAXN108_2797 179 0 0 179
1280.SAXN108_0003 1280.SAXN108_0467 366 0 208 476
1280.SAXN108_0003 1280.SAXN108_1710 0 0 525 525
1280.SAXN108_0003 1280.SAXN108_2005 366 0 406 607
1280.SAXN108_0003 1280.SAXN108_0610 208 0 0 208
1280.SAXN108_0003 1280.SAXN108_1419 157 0 0 156
1280.SAXN108_0003 1280.SAXN108_1503 233 0 0 232
1280.SAXN108_0003 1280.SAXN108_1764 164 0 0 163
1280.SAXN108_0003 1280.SAXN108_1246 312 0 0 311
1280.SAXN108_0003 1280.SAXN108_1287 223 0 0 223
1280.SAXN108_0003 1280.SAXN108_2358 176 0 0 175
1280.SAXN108_0003 1280.SAXN108_0084 440 748 0 852
1280.SAXN108_0003 1280.SAXN108_1993 447 277 233 666
1280.SAXN108_0003 1280.SAXN108_0537 183 0 155 280
1280.SAXN108_0003 1280.SAXN108_1532 170 0 0 169
1280.SAXN108_0003 1280.SAXN108_0002 384 0 402 615
1280.SAXN108_0003 1280.SAXN108_1371 183 0 0 183
1280.SAXN108_0004 1280.SAXN108_1195 166 0 0 165
1280.SAXN108_0004 1280.SAXN108_1593 166 0 0 165
1280.SAXN108_0004 1280.SAXN108_1004 166 0 0 165
1280.SAXN108_0004 1280.SAXN108_1879 166 0 0 165
1280.SAXN108_0004 1280.SAXN108_1278 179 0 0 179
1280.SAXN108_0004 1280.SAXN108_1516 163 0 0 163
1280.SAXN108_0004 1280.SAXN108_1784 163 0 0 163
1280.SAXN108_0004 1280.SAXN108_1465 179 0 0 179
1280.SAXN108_0004 1280.SAXN108_0848 179 0 0 179
1280.SAXN108_0004 1280.SAXN108_1077 173 0 0 173
1280.SAXN108_0005 1280.SAXN108_1588 182 0 397 486
1280.SAXN108_0005 1280.SAXN108_1290 0 0 583 583
1280.SAXN108_0005 1280.SAXN108_2223 0 0 163 163
1280.SAXN108_0005 1280.SAXN108_2150 0 0 174 173
1280.SAXN108_0005 1280.SAXN108_1903 0 0 506 506
1280.SAXN108_0005 1280.SAXN108_1471 0 0 523 523
1280.SAXN108_0005 1280.SAXN108_1663 0 0 416 416
1280.SAXN108_0005 1280.SAXN108_0530 0 0 589 589
1280.SAXN108_0006 1280.SAXN108_2196 176 0 0 175
1280.SAXN108_0006 1280.SAXN108_1301 120 0 243 305
1280.SAXN108_0006 1280.SAXN108_1275 216 0 0 216
1280.SAXN108_0006 1280.SAXN108_0002 0 0 248 248
1280.SAXN108_0006 1280.SAXN108_2091 133 0 63 152
1280.SAXN108_0006 1280.SAXN108_2273 133 0 102 188
1280.SAXN108_0006 1280.SAXN108_0535 158 0 0 157
1280.SAXN108_0006 1280.SAXN108_2847 163 0 0 163
1280.SAXN108_0006 1280.SAXN108_0788 250 0 122 313
1280.SAXN108_0006 1280.SAXN108_0007 363 0 903 935
1280.SAXN108_0006 1280.SAXN108_1252 0 0 559 559
1280.SAXN108_0006 1280.SAXN108_0534 158 0 0 157
1280.SAXN108_0006 1280.SAXN108_1305 159 0 0 158
1280.SAXN108_0006 1280.SAXN108_0463 163 0 0 163
1280.SAXN108_0006 1280.SAXN108_0949 170 0 0 169
1280.SAXN108_0006 1280.SAXN108_1456 133 0 63 152
1280.SAXN108_0006 1280.SAXN108_1787 133 0 63 152
1280.SAXN108_0006 1280.SAXN108_2150 0 0 302 302
1280.SAXN108_0006 1280.SAXN108_1606 217 0 0 217
1280.SAXN108_0006 1280.SAXN108_1235 133 0 63 152
1280.SAXN108_0006 1280.SAXN108_1280 163 0 0 163
1280.SAXN108_0006 1280.SAXN108_0267 163 0 0 163
1280.SAXN108_0006 1280.SAXN108_2503 0 0 460 459
1280.SAXN108_0006 1280.SAXN108_0849 151 0 0 150
1280.SAXN108_0006 1280.SAXN108_1290 0 0 226 225
1280.SAXN108_0006 1280.SAXN108_0001 0 0 248 248
1280.SAXN108_0006 1280.SAXN108_1017 170 0 0 169
1280.SAXN108_0006 1280.SAXN108_0008 363 0 414 610
1280.SAXN108_0006 1280.SAXN108_0413 159 0 0 158
1280.SAXN108_0006 1280.SAXN108_1771 163 0 0 163
1280.SAXN108_0006 1280.SAXN108_2517 186 0 0 186
