protein1 protein2 experimental database textmining combined_score
565664.EFXG_00004 565664.EFXG_00735 176 0 0 175
565664.EFXG_00004 565664.EFXG_01007 159 0 0 158
565664.EFXG_00004 565664.EFXG_02507 131 100 0 184
565664.EFXG_00004 565664.EFXG_02603 162 0 0 161
565664.EFXG_00004 565664.EFXG_02104 160 0 0 159
565664.EFXG_00004 565664.EFXG_01045 161 726 0 760
565664.EFXG_00004 565664.EFXG_02368 212 0 0 212
565664.EFXG_00004 565664.EFXG_00370 212 0 0 212
565664.EFXG_00004 565664.EFXG_01707 228 0 0 227
565664.EFXG_00004 565664.EFXG_03998 131 100 0 184
565664.EFXG_00004 565664.EFXG_02759 160 0 0 159
565664.EFXG_00004 565664.EFXG_00443 160 0 0 159
565664.EFXG_00004 565664.EFXG_02713 159 0 0 158
565664.EFXG_00004 565664.EFXG_02414 212 0 0 212
565664.EFXG_00004 565664.EFXG_00179 159 0 0 158
565664.EFXG_00004 565664.EFXG_02084 165 0 0 165
565664.EFXG_00004 565664.EFXG_01383 208 0 0 208
565664.EFXG_00004 565664.EFXG_01034 157 0 0 156
565664.EFXG_00004 565664.EFXG_00750 220 0 0 220
565664.EFXG_00004 565664.EFXG_00109 203 0 0 203
565664.EFXG_00004 565664.EFXG_01733 212 0 0 212
565664.EFXG_00004 565664.EFXG_00481 203 0 0 203
565664.EFXG_00004 565664.EFXG_02054 212 0 0 212
565664.EFXG_00004 565664.EFXG_00575 162 387 0 464
565664.EFXG_00004 565664.EFXG_01450 208 0 0 208
565664.EFXG_00004 565664.EFXG_00523 212 0 0 212
565664.EFXG_00004 565664.EFXG_00015 162 0 0 161
565664.EFXG_00004 565664.EFXG_01826 0 0 576 576
565664.EFXG_00004 565664.EFXG_02525 159 0 0 158
565664.EFXG_00004 565664.EFXG_02452 159 0 0 158
565664.EFXG_00004 565664.EFXG_02006 160 0 0 159
565664.EFXG_00004 565664.EFXG_00593 157 0 0 156
565664.EFXG_00004 565664.EFXG_01362 265 0 0 265
565664.EFXG_00004 565664.EFXG_01612 202 0 0 202
565664.EFXG_00004 565664.EFXG_02381 212 0 0 212
565664.EFXG_00004 565664.EFXG_00458 314 0 0 313
565664.EFXG_00004 565664.EFXG_00668 86 465 0 490
565664.EFXG_00004 565664.EFXG_01728 161 726 0 760
565664.EFXG_00004 565664.EFXG_01064 161 0 0 161
565664.EFXG_00004 565664.EFXG_01592 160 0 0 159
565664.EFXG_00004 565664.EFXG_00749 212 0 0 212
565664.EFXG_00004 565664.EFXG_01040 157 0 0 156
565664.EFXG_00004 565664.EFXG_00573 230 0 0 229
565664.EFXG_00004 565664.EFXG_00501 165 0 0 165
565664.EFXG_00004 565664.EFXG_04055 131 100 0 184
565664.EFXG_00004 565664.EFXG_01864 160 0 0 159
565664.EFXG_00004 565664.EFXG_00313 203 0 0 203
565664.EFXG_00004 565664.EFXG_00527 0 0 203 203
565664.EFXG_00004 565664.EFXG_00956 212 0 0 212
565664.EFXG_00004 565664.EFXG_01739 203 0 0 203
565664.EFXG_00004 565664.EFXG_00530 226 0 0 225
565664.EFXG_00004 565664.EFXG_01088 220 0 0 220
565664.EFXG_00004 565664.EFXG_01326 160 0 262 353
565664.EFXG_00004 565664.EFXG_01180 160 0 0 159
565664.EFXG_00004 565664.EFXG_00255 158 0 0 157
565664.EFXG_00004 565664.EFXG_00324 161 726 0 760
565664.EFXG_00004 565664.EFXG_02728 86 465 0 490
565664.EFXG_00004 565664.EFXG_00045 158 0 0 157
565664.EFXG_00004 565664.EFXG_01666 383 0 0 382
565664.EFXG_00004 565664.EFXG_00892 158 0 0 157
565664.EFXG_00004 565664.EFXG_04110 131 100 0 184
565664.EFXG_00004 565664.EFXG_02777 159 0 0 158
565664.EFXG_00004 565664.EFXG_00690 280 0 0 280
565664.EFXG_00004 565664.EFXG_01311 153 0 0 152
565664.EFXG_00004 565664.EFXG_01888 164 0 0 163
565664.EFXG_00004 565664.EFXG_03983 131 100 0 184
